"user id"," handle"," count"
"bacon","unknown","23"
"stew","unknown","13"
"hotsprings","unknown","4"
"sob","unknown","38"
"runner","unknown","33"
"alarm_clock","unknown","8"
"neutral_face","unknown","5"
"mouse","unknown","3"
"knife_fork_plate","unknown","17"
"truck","unknown","8"
"bread","unknown","4"
"raised_hand_with_fingers_splayed","unknown","2"
"snowflake","unknown","14"
"sports_medal","unknown","7"
"dagger_knife","unknown","2"
"cow2","unknown","12"
"money_with_wings","unknown","12"
"sushi","unknown","9"
"candy","unknown","10"
"sweet_potato","unknown","8"
"strawberry","unknown","2"
"stuck_out_tongue_closed_eyes","unknown","6"
"mantelpiece_clock","unknown","13"
"microscope","unknown","5"
"unipoop","unknown","1"
"tram","unknown","1"
"allthethings","unknown","4"
"train","unknown","8"
"toilet","unknown","5"
"wat","unknown","1"
"chewbacca","unknown","1"
"rebel","unknown","38"
"birthday","unknown","96"
"star2","unknown","16"
"bowtie","unknown","10"
"ship","unknown","8"
"arrow_upper_right","unknown","1"
"ok_woman","unknown","7"
"high_brightness","unknown","1"
"ticket","unknown","4"
"virgo","unknown","10"
"flushed","unknown","7"
"poultry_leg","unknown","6"
"v","unknown","15"
"baby_symbol","unknown","10"
"blowfish","unknown","7"
"man_with_turban","unknown","2"
"raising_hand","unknown","5"
"balloon","unknown","19"
"ramen","unknown","2"
"bulb","unknown","14"
"pray","unknown","21"
"chipotle","unknown","13"
"ble","unknown","11"
"ice_hockey_stick_and_puck","unknown","10"
"maple_leaf","unknown","9"
"turkey","unknown","10"
"spock-hand","unknown","51"
"stars","unknown","12"
"pingpong","unknown","7"
"earth_americas","unknown","8"
"steam_locomotive","unknown","8"
"bullettrain_front","unknown","5"
"point_left","unknown","3"
"apple","unknown","9"
"watch","unknown","9"
"footprints","unknown","3"
"flag-kr","unknown","2"
"christmas_tree","unknown","19"
"pear","unknown","3"
"confused","unknown","11"
"mega","unknown","8"
"zero","unknown","2"
"mustache","unknown","10"
"fist","unknown","1"
"surfer","unknown","3"
"imperial","unknown","8"
"flashlight","unknown","1"
"leaves","unknown","2"
"bicyclist","unknown","16"
